date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:26	31564/31564	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:47:12%20GMT	http://www.w3schools.com/html/default.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/default.html	(from )
22:31:27	228/228	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0%22	http://www.w3schools.com/robots.txt		(from )
22:31:27	28929/28929	---M-Z	200	added ('OK')	text/css	etag:%226213abc99edd11:0%22	http://www.w3schools.com/lib/w3.css	C:/My%20Web%20Sites/javascript/www.w3schools.com/lib/w3.css	(from http://www.w3schools.com/html/default.asp)
22:31:28	27580/27580	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Jun%202016%2014:34:39%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/javascript/www.google-analytics.com/analytics.js	(from http://www.w3schools.com/html/default.asp)
22:31:28	10535/10535	---M-Z	200	added ('OK')	text/css	etag:%22737725d9f7f2d11:0%22	http://www.w3schools.com/stdtheme.css	C:/My%20Web%20Sites/javascript/www.w3schools.com/stdtheme.css	(from http://www.w3schools.com/html/default.asp)
22:31:29	34476/34476	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:32:44%20GMT	http://www.w3schools.com/html/html_intro.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_intro.html	(from http://www.w3schools.com/html/default.asp)
22:31:30	31443/31443	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:48:11%20GMT	http://www.w3schools.com/html/html_editors.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_editors.html	(from http://www.w3schools.com/html/default.asp)
22:31:31	31683/31683	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2005:01:37%20GMT	http://www.w3schools.com/html/html_basic.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_basic.html	(from http://www.w3schools.com/html/default.asp)
22:31:32	33665/33665	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:54:18%20GMT	http://www.w3schools.com/html/html_elements.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_elements.html	(from http://www.w3schools.com/html/default.asp)
22:31:33	36722/36722	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:41:52%20GMT	http://www.w3schools.com/html/html_attributes.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_attributes.html	(from http://www.w3schools.com/html/default.asp)
22:31:34	33526/33526	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:30:45%20GMT	http://www.w3schools.com/html/html_headings.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_headings.html	(from http://www.w3schools.com/html/default.asp)
22:31:35	33597/33597	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:57:33%20GMT	http://www.w3schools.com/html/html_paragraphs.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_paragraphs.html	(from http://www.w3schools.com/html/default.asp)
22:31:36	33184/33184	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2005:01:06%20GMT	http://www.w3schools.com/html/html_styles.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_styles.html	(from http://www.w3schools.com/html/default.asp)
22:31:37	36351/36351	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2005:20:43%20GMT	http://www.w3schools.com/html/html_formatting.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_formatting.html	(from http://www.w3schools.com/html/default.asp)
22:31:38	34459/34459	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:45:23%20GMT	http://www.w3schools.com/html/html_quotation_elements.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_quotation_elements.html	(from http://www.w3schools.com/html/default.asp)
22:31:39	33997/33997	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2005:09:53%20GMT	http://www.w3schools.com/html/html_computercode_elements.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_computercode_elements.html	(from http://www.w3schools.com/html/default.asp)
22:31:40	31018/31018	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:48:23%20GMT	http://www.w3schools.com/html/html_comments.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_comments.html	(from http://www.w3schools.com/html/default.asp)
22:31:41	35916/35916	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2004:26:25%20GMT	http://www.w3schools.com/html/html_colors.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_colors.html	(from http://www.w3schools.com/html/default.asp)
22:31:42	38746/38746	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Aug%202016%2005:18:30%20GMT	http://www.w3schools.com/html/html_css.asp	C:/My%20Web%20Sites/javascript/www.w3schools.com/html/html_css.html	(from http://www.w3schools.com/html/default.asp)
